product_name,product_id,department_d,total_orders,total_reorders,reorder_rate
Organic Reduced Fat Milk,38689,16,96,84,0.875
Organic Milk,1463,16,82,70,0.853658537
Organic Whole Milk,27845,16,383,325,0.848563969
Bag of Organic Bananas,13176,4,1206,1018,0.844112769
Banana,24852,4,1482,1248,0.842105263
Organic Large Brown Grade AA Cage Free Eggs,30233,16,120,100,0.833333333
Soda,196,7,115,95,0.826086957
Organic Large Grade AA Brown Eggs,32655,16,86,71,0.825581395
100% Raw Coconut Water,3957,7,120,99,0.825
Sparkling Lemon Water,21709,7,96,78,0.8125
Organic Fat Free Milk,36011,16,83,67,0.807228916
Organic Half & Half,49235,16,243,196,0.806584362
Fat Free Milk,19348,16,92,74,0.804347826
Spring Water,19660,7,188,151,0.803191489
Sparkling Natural Mineral Water,33198,7,126,101,0.801587302
Organic Reduced Fat 2% Milk,5785,16,141,113,0.80141844
Organic Hass Avocado,47209,4,640,511,0.7984375
Organic Baby Spinach,21903,4,722,572,0.792243767
Unsweetened Almondmilk,24838,16,141,111,0.787234043
Italian Sparkling Mineral Water,5479,7,103,81,0.786407767
Organic Unsweetened Almond Milk,35951,16,159,125,0.786163522
Whole Milk,4210,16,105,82,0.780952381
Sparkling Water Grapefruit,44632,7,241,188,0.780082988
Organic Granny Smith Apple,39877,4,183,140,0.765027322
Organic Bread with 21 Whole Grains,18362,3,79,60,0.759493671
Organic Whole String Cheese,22035,16,212,161,0.759433962
Apple Honeycrisp Organic,8277,4,269,204,0.758364312
Organic Large Extra Fancy Fuji Apple,19057,4,223,169,0.757847534
Boneless Skinless Chicken Breast,6046,12,70,53,0.757142857
Organic Broccoli,9839,4,119,90,0.756302521
Half & Half,27086,16,211,159,0.753554502
Organic Gala Apples,37646,4,230,173,0.752173913
Organic Strawberries,21137,4,788,591,0.75
Organic Avocado,47766,4,569,426,0.748681898
Pure Irish Butter,33000,16,95,71,0.747368421
Grape White/Green Seedless,46906,4,87,65,0.747126437
Organic Lacinato (Dinosaur) Kale,27521,4,134,100,0.746268657
Total 2% with Strawberry Lowfat Greek Strained Yogurt,33754,16,94,70,0.744680851
Unsweetened Original Almond Breeze Almond Milk,47144,16,129,96,0.744186047
Organic Cucumber,30391,4,246,183,0.743902439
Hass Avocados,12341,4,163,121,0.742331288
Vanilla Almond Breeze Almond Milk,432,16,97,72,0.742268041
